nam_eve	wydarzenie 1, 
nam_eve_human	zdarzenie związane z religią 1, biennale 1, bunt 2, fakt 1, heca 1, kampania 2, kapitulacja 1, kasacja 3, konflikt 1, kradzież 2, likwidacja 1, manewr 1, nalot 2, niespodzianka 1, odjazd 1, okazja 2, pokaz 2, powrót 1, precedens 1, rozrywka 1, przemarsz 1, przeprowadzka 1, przewiezienie 2, rozpoczęcie 4, rywalizacja 1, strzelanina 1, sąd 4, test 4, triennale 1, uroczystość 1, walka 1, wendeta 1, wiercenie 4, wjazd 4, wmarsz 1, rewolucja 1, wycinka 1, wyprowadzka 1, wyzwolenie 4, wyświęcenie 3, włamanie 1, zajście 8, zamiana 2, śledztwo 1,
nam_eve_human_aniversary	rocznica 2, rocznica 1, 
nam_eve_human_holiday	święto 1, święto 2
nam_eve_human_sport	zawody 2, 
nam_eve_human_cultural	przegląd 2, recital 1, wernisaż 1, występ 1, wystawa 1, pokaz 1,
nam_eve_natural_phenomenom	wicher 1, klęska żywiołowa 1, pożar 3, lawina 1, 
nam_fac	budowla 1*, ciąg2
nam_fac_bridge	most 1,
nam_fac_cossroad	skrzyżowanie 5,
nam_fac_goe	budowla 1*, schronienie 3*,
nam_fac_goe_market	giełda papierów wartościowych 1*,
nam_fac_goe_stop	stacja rozrządowa 1*, przystanek 1, stacja 2, lotnisko 1, terminal 2*, port 1, 
nam_fac_park	park 1, 
nam_fac_road	ulica 1, ulica 2*, droga kolejowa 1*, droga kołowa 1, droga publiczna 1, droga rzymska 1, obwodnica 1, szosa 1, wylotówka 1, 
nam_fac_square	plac 1, plac 5, 
nam_fac_system	system 7
nam_liv_animal	zwierzę1, 
nam_liv_character	postać 4, 
nam_liv_god	bóg 2, 
nam_liv_person	człowiek 1,
nam_oth_person_add	człowiek 1,
nam_oth_person_first	człowiek 1,
nam_oth_person_last	człowiek 1,
nam_liv_habitant	mieszkaniec miasta 1, mieszkaniec państwa 1, mieszkaniec regionu 1, wyspiarz 1, Azjata 1, Afrykańczyk 1, Amerykanin 1, Europejczyk 1, Australijczyk 1, 
nam_liv_plant	roślina 1,
nam_loc_astronomical	obiekt astronomiczny 1, 
nam_loc_country_region	mikroregion 1
nam_loc_gpe_admin	jednostka administracyjna 1, dzielnica 1, kapitania 1, municypium 1, pałanka 1, satrapia 1, sołectwo 1, stanica 5, starostwo 2, tribus 1, wicekrólestwo 1, 
nam_loc_gpe_admin1	generałgubernatorstwo 1, kanton 1, komitat 1, kraj 4, prefektura 1, stan 4, województwo 1, ajmak 1, departament 2, prowincja 1, dystrykt 1, gubernatorstwo 1, ostan 1, paszałyk 1, region 1, półkanton 1, sandżak 1, tema 1, 
nam_loc_gpe_admin2	cyrkuł 1, departament 2, prowincja 1, dystrykt 1, gubernium 1, hrabstwo 1, kasztelnia 2 (?), powiat 1, okręg 1, prefektura 1, region 1, rejencja 1, sandżak 1, 
nam_loc_gpe_admin3	gmina 1, gromada 5,
nam_loc_gpe_city	miejscowość 1, 
nam_loc_gpe_conurbation	aglomeracja 1, 
nam_loc_gpe_country	państwo 1, 
nam_loc_gpe_district	dzielnica 1,
nam_loc_gpe_subdivision	osiedle 1,
nam_loc_historical_region	kraina historyczna 1, 
nam_loc_hydronym_bay	zatoka 2, 
nam_loc_hydronym_lagoon	laguna 1,
nam_loc_hydronym_lake	jezioro 2,
nam_loc_hydronym_ocean	ocean 1, 
nam_loc_hydronym_river	ciek wodny 1,
nam_loc_hydronym_sea	morze 1,
nam_loc_land_cape	przylądek 1, 
nam_loc_land_continent	kontynent 1, kontynent 2,
nam_loc_land_desert	pustynia 1,
nam_loc_land_island	wyspa 1, archipelag 1,
nam_loc_land_mountain	góra 1, góry 1
nam_loc_land_peak	szczyt 2, 
nam_loc_land_peninsula	półwysep 1,
nam_loc_land_protected_area	rezerwat 1, park krajobrazowy 1, park narodowy 1, 
nam_loc_land_region	region 2, 
nam_loc_land_sandspit	mierzeja
nam_org	organizacja1
nam_org_company	podmiot gospodarczy 1, 
nam_org_group	grupa 2, grupa 5
nam_org_group_band	zespół 6, 
nam_org_group_team	drużyna sportowa 1, 
nam_org_nation	nacja 1, lud 2, grupa etniczna 2, mieszkaniec państwa 1, 
nam_org_organization	organizacja 1,
nam_org_institution	jednostka organizacyjna 1, 
nam_org_institution_full	jednostka organizacyjna 1, 
nam_org_political_party	partia 1, 
nam_oth_address_street	adres 5, (miejsce 1)
